id,anio,actividades_postales_correo_comunicaciones_informacion
1,1965,2.8
2,1966,3.2
3,1967,3.8
4,1968,4.6
5,1969,5.6
6,1970,6.5
7,1971,6.7
8,1972,7.4
9,1973,8.2
10,1974,8.5
11,1975,12.4
12,1976,13
13,1977,16.7
14,1978,19.3
15,1979,22.8
16,1980,28.4
17,1981,28.3
18,1982,16.6
19,1983,11.9
20,1984,17.6
21,1985,16.9
22,1986,14.9
23,1987,27
24,1988,26
25,1989,32.7
26,1990,45.7
27,1991,56.2
28,1992,55.1
29,1993,107
30,1994,236.9
31,1995,301.6
32,1996,253.6
33,1997,202.9
34,1998,251.6
35,1999,189.2
36,2000,252.2
37,2001,570.7
38,2002,669.7
39,2003,797.1
40,2004,905.3
41,2005,"1,107.30"
42,2006,"1,108.30"
43,2007,"1,194.00"
44,2008,"1,412.20"
45,2009,"1,538.70"
46,2010,"1,730.30"
47,2011,"1,923.30"
48,2012,"2,087.20"
49,2013,"2,248.10"
50,2014,"2,437.60"
51,2015,"2,347.30"
52,2016,"2,344.40"
53,2017,"2,429.60"
54,2018,"2,567.00"
55,2019,"2,486.00"
56,2020,"2,310.20"
57,2021,"2,310.10"
58,2022,"2,483.30"
59,2023,"2,469.60"
